conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Sudan,SDN,-15.979,18.086,15.96796611,29.90746525,4877616.603,1,0,0
Sudan,SDN,-12,20,15.96796611,29.90746525,4448770.53,1,0,0
Sudan,SDN,-4.033,5.317,15.96796611,29.90746525,3890436.678,1,0,0
Sudan,SDN,1.167,8,15.96796611,29.90746525,3248745.265,1,0,551
Sudan,SDN,2.352,48.857,15.96796611,29.90746525,4433648.73,8,0,25
Sudan,SDN,3.059,36.754,15.96796611,29.90746525,3515865.514,1,0,0
Sudan,SDN,4.352,50.847,15.96796611,29.90746525,4502856.526,2,0,1223
Sudan,SDN,6.147,46.202,15.96796611,29.90746525,4023132.945,4,1,619
Sudan,SDN,9,51,15.96796611,29.90746525,4322693.388,1,0,0
Sudan,SDN,10.739,59.913,15.96796611,29.90746525,5132871.026,1,0,0
Sudan,SDN,12.483,41.893,15.96796611,29.90746525,3333186.813,3,0,17
Sudan,SDN,12.833,42.833,15.96796611,29.90746525,3403168.161,1,0,0
Sudan,SDN,13.405,52.52,15.96796611,29.90746525,4320412.509,7,2,255
Sudan,SDN,15.05,12.11,15.96796611,29.90746525,1660400.111,5,0,1412
Sudan,SDN,18.069,59.329,15.96796611,29.90746525,4923067.627,2,0,673
Sudan,SDN,19,15,15.96796611,29.90746525,1174951.663,1,0,0
Sudan,SDN,22,14.1,15.96796611,29.90746525,875098.8926,1,0,0
Sudan,SDN,24.883,12.05,15.96796611,29.90746525,696120.3547,2,0,647
Sudan,SDN,24.904,15.766,15.96796611,29.90746525,536220.0573,5,1,1258
Sudan,SDN,25.35,13.631,15.96796611,29.90746525,555179.0093,4,0,149
Sudan,SDN,28,11.5,15.96796611,29.90746525,538422.7352,1,0,45
Sudan,SDN,28.046,-26.204,15.96796611,29.90746525,4698884.815,1,0,9
Sudan,SDN,28.188,-25.746,15.96796611,29.90746525,4647313.789,1,0,0
Sudan,SDN,30,-2,15.96796611,29.90746525,2000210.746,1,0,0
Sudan,SDN,30,8,15.96796611,29.90746525,887047.0587,3,0,530
Sudan,SDN,30,11,15.96796611,29.90746525,553122.1015,3,0,252
Sudan,SDN,30,15,15.96796611,29.90746525,108209.7917,25,3,4055
Sudan,SDN,30,27,15.96796611,29.90746525,1228117.631,6,0,2688
Sudan,SDN,31.236,30.044,15.96796611,29.90746525,1572793.173,33,0,5174
Sudan,SDN,31.6,4.85,15.96796611,29.90746525,1251395.186,69,18,4193
Sudan,SDN,32,1,15.96796611,29.90746525,1681983.244,3,0,2049
Sudan,SDN,32.48,0.049,15.96796611,29.90746525,1794484.851,7,0,1421
Sudan,SDN,32.5,15.6,15.96796611,29.90746525,280719.9755,129,9,3671
Sudan,SDN,32.581,0.314,15.96796611,29.90746525,1767158.832,7,0,551
Sudan,SDN,32.85,39.93,15.96796611,29.90746525,2682665.997,1,0,0
Sudan,SDN,34.75,31.5,15.96796611,29.90746525,1797396.797,1,0,45
Sudan,SDN,35,39,15.96796611,29.90746525,2611575.895,1,0,45
Sudan,SDN,35.834,34.437,15.96796611,29.90746525,2139650.042,3,0,0
Sudan,SDN,36,14,15.96796611,29.90746525,690757.2523,2,0,62
Sudan,SDN,36,16,15.96796611,29.90746525,651983.5155,3,0,469
Sudan,SDN,36.4,15.45,15.96796611,29.90746525,698105.625,2,0,276
Sudan,SDN,36.817,-1.286,15.96796611,29.90746525,2065531.006,14,0,4566
Sudan,SDN,37,19,15.96796611,29.90746525,825098.2542,1,0,207
Sudan,SDN,37.217,19.617,15.96796611,29.90746525,874607.7967,20,0,1242
Sudan,SDN,37.617,55.756,15.96796611,29.90746525,4477701.528,1,0,0
Sudan,SDN,38,1,15.96796611,29.90746525,1888209.623,4,0,1477
Sudan,SDN,38,8,15.96796611,29.90746525,1249731.14,3,0,1609
Sudan,SDN,38.74,9.03,15.96796611,29.90746525,1231496.166,50,2,7012
Sudan,SDN,38.925,15.323,15.96796611,29.90746525,969218.2637,1,0,0
Sudan,SDN,39.173,21.543,15.96796611,29.90746525,1156633.723,9,2,2867
Sudan,SDN,43,11.5,15.96796611,29.90746525,1500042.724,9,1,1003
Sudan,SDN,45,25,15.96796611,29.90746525,1865178.89,8,1,2456
Sudan,SDN,46.717,24.633,15.96796611,29.90746525,1999867.464,7,0,2188
Sudan,SDN,51.25,25.5,15.96796611,29.90746525,2457536.527,1,0,440
Sudan,SDN,51.533,25.287,15.96796611,29.90746525,2475611.636,4,0,178
Sudan,SDN,54,24,15.96796611,29.90746525,2669567.381,1,0,45
Sudan,SDN,54.367,24.467,15.96796611,29.90746525,2719287.2,2,0,108
Sudan,SDN,116.397,39.907,15.96796611,29.90746525,8593229.636,3,0,0
Sudan,SDN,121.97,20.45,15.96796611,29.90746525,9612215.891,1,0,0
Syria,SYR,-73.925,40.694,35.01677733,38.48446214,9139511.238,35,0,0
Syria,SYR,4.352,50.847,35.01677733,38.48446214,3249513.914,3,0,0
Syria,SYR,6.147,46.202,35.01677733,38.48446214,2976133.151,12,0,0
Syria,SYR,9.836,46.803,35.01677733,38.48446214,2722322.614,1,0,0
Syria,SYR,13.405,52.52,35.01677733,38.48446214,2776804.639,1,0,0
Syria,SYR,28.955,41.014,35.01677733,38.48446214,1068537.247,2,0,0
Syria,SYR,31.236,30.044,35.01677733,38.48446214,876594.6823,7,0,0
Syria,SYR,32.85,39.93,35.01677733,38.48446214,739216.1115,12,0,0
Syria,SYR,35.006,29.532,35.01677733,38.48446214,692665.2148,2,0,0
Syria,SYR,35.783,35.517,35.01677733,38.48446214,251759.5558,1,0,0
Syria,SYR,35.933,31.95,35.01677733,38.48446214,415490.7059,3,0,0
Syria,SYR,36,31,35.01677733,38.48446214,503664.0542,1,0,0
Syria,SYR,36.292,33.513,35.01677733,38.48446214,262107.5681,35,0,0
Syria,SYR,36.633,35.933,35.01677733,38.48446214,196398.0262,1,0,0
Syria,SYR,36.817,31.917,35.01677733,38.48446214,378197.728,1,0,0
Syria,SYR,37.617,55.756,35.01677733,38.48446214,2309630.855,10,0,0
