"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Syria","SYR","202412",44.366,33.315,35.0167773258703,38.4844621406404,573785.786737283,3,0,0
"Syria","SYR","202304",45,25,35.0167773258703,38.4844621406404,1278956.46609073,1,0,0
"Syria","SYR","202303",46.717,24.633,35.0167773258703,38.4844621406404,1401623.99912991,1,0,0
"Syria","SYR","202412",47.978,29.37,35.0167773258703,38.4844621406404,1092259.21320869,1,0,0
"Syria","SYR","202305",51.389,35.689,35.0167773258703,38.4844621406404,1173177.00487455,1,0,0
"Syria","SYR","202412",51.533,25.287,35.0167773258703,38.4844621406404,1655702.86722075,2,0,0
"Syria","SYR","202302",54,24,35.0167773258703,38.4844621406404,1935556.18263911,1,0,0
"Syria","SYR","202302",58.592,23.614,35.0167773258703,38.4844621406404,2320864.98716655,1,0,0
"Syria","SYR","202305",58.592,23.614,35.0167773258703,38.4844621406404,2320864.98716655,1,0,0
"Syria","SYR","202306",71.422,51.147,35.0167773258703,38.4844621406404,3182824.03951635,2,0,0
"Syria","SYR","202401",71.422,51.147,35.0167773258703,38.4844621406404,3182824.03951635,1,0,0
"Syria","SYR","202407",71.422,51.147,35.0167773258703,38.4844621406404,3182824.03951635,1,0,0
"Syria","SYR","202411",71.422,51.147,35.0167773258703,38.4844621406404,3182824.03951635,1,0,0
"Syria","SYR","202407",102.496,19.856,35.0167773258703,38.4844621406404,6437580.62372133,1,0,0
"Syria","SYR","202412",116.397,39.907,35.0167773258703,38.4844621406404,6681506.42970066,1,0,0
"Yemen","YEM","201904",-81.25,42.984,15.5527,48.5164,11749242.0276602,1,0,0
"Yemen","YEM","202310",-81.25,42.984,15.5527,48.5164,11749242.0276602,1,0,0
"Yemen","YEM","201803",-77.101,38.879,15.5527,48.5164,11752316.122867,1,0,0
"Yemen","YEM","201901",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","201903",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","201904",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","202202",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","202205",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","202305",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","202310",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
